Ranking,Game_Name,Platform,Release_Year,Genre,Publisher,North_America_Sales,Europe_Sales,Japan_Sales,Other_Regions_Sales,Total_Global_Sales,Year_int
4576,mega man battle network,GBA,2001-01-01,Role-Playing,Capcom,0.14,0.05,0.22,0.01,0.42,2001.0
4577,lego rock band,PS3,2009-01-01,Misc,Warner Bros. Interactive Entertainment,0.24,0.13,0.0,0.06,0.42,2009.0
4578,25 to life,PS2,2006-01-01,Shooter,Eidos Interactive,0.35,0.01,0.0,0.06,0.42,2006.0
4579,nhl 2k6,PS2,2005-01-01,Sports,Take-Two Interactive,0.21,0.16,0.0,0.05,0.42,2005.0
4580,medal of honor: rising sun,GC,2003-01-01,Shooter,Electronic Arts,0.33,0.09,0.0,0.01,0.42,2003.0
4581,the sims,XB,2003-01-01,Simulation,Electronic Arts,0.31,0.1,0.0,0.01,0.42,2003.0
4582,guitar hero: smash hits,X360,2009-01-01,Misc,Activision,0.23,0.15,0.0,0.04,0.42,2009.0
4583,dog's life,PS2,2003-01-01,Adventure,Sony Computer Entertainment,0.21,0.16,0.0,0.05,0.42,2003.0
4584,the x files,PS,1999-01-01,Adventure,Sony Computer Entertainment,0.24,0.16,0.0,0.03,0.42,1999.0
4585,super wagyan land,SNES,1991-01-01,Action,Namco Bandai Games,0.0,0.0,0.42,0.0,0.42,1991.0
4586,rascal,PS,1998-01-01,Action,Psygnosis,0.24,0.16,0.0,0.03,0.42,1998.0
4587,hometown story,3DS,2013-01-01,Role-Playing,Rising Star Games,0.22,0.13,0.04,0.04,0.42,2013.0
4588,tony hawk's american wasteland,GC,2005-01-01,Sports,Activision,0.33,0.08,0.0,0.01,0.42,2005.0
4589,top spin 4,X360,2011-01-01,Sports,Take-Two Interactive,0.15,0.23,0.0,0.04,0.42,2011.0
4590,famicom mini: super mario bros. 2,GBA,2004-01-01,Platform,Nintendo,0.0,0.0,0.41,0.01,0.42,2004.0
4591,crash: mind over mutant,DS,2008-01-01,Platform,Vivendi Games,0.39,0.0,0.0,0.03,0.42,2008.0
4592,medal of honor heroes 2,Wii,2007-01-01,Shooter,Electronic Arts,0.34,0.04,0.01,0.04,0.42,2007.0
4593,yu-gi-oh! gx: tag force 2,PSP,2007-01-01,Strategy,Konami Digital Entertainment,0.03,0.2,0.1,0.11,0.42,2007.0
4594,colony wars,PS,1997-01-01,Simulation,Psygnosis,0.24,0.16,0.0,0.03,0.42,1997.0
4595,all-star baseball 2004,PS2,2003-01-01,Sports,Acclaim Entertainment,0.21,0.16,0.0,0.05,0.42,2003.0
4596,big strike bowling,PS,2003-01-01,Sports,Gotham Games,0.23,0.16,0.0,0.03,0.42,2003.0
4597,ragnarok odyssey,PSV,2012-01-01,Role-Playing,GungHo,0.22,0.01,0.16,0.03,0.42,2012.0
4598,harry potter and the deathly hallows - part 1,DS,2010-01-01,Action,Electronic Arts,0.2,0.19,0.0,0.04,0.42,2010.0
4599,horsez,DS,2006-01-01,Simulation,Ubisoft,0.38,0.01,0.0,0.03,0.42,2006.0
4600,spongebob's truth or square (us sales),DS,2009-01-01,Action,THQ,0.42,0.0,0.0,0.0,0.42,2009.0
4601,nascar thunder 2002,PS,2001-01-01,Racing,Electronic Arts,0.23,0.16,0.0,0.03,0.42,2001.0
4602,grandia,SAT,1997-01-01,Role-Playing,ESP,0.0,0.0,0.42,0.0,0.42,1997.0
4603,espn nhl 2k5,XB,2004-01-01,Sports,Global Star,0.32,0.09,0.0,0.02,0.42,2004.0
4604,yu-gi-oh! 7 trials to glory: world championship tournament 2005,GBA,2005-01-01,Misc,Konami Digital Entertainment,0.3,0.11,0.0,0.01,0.42,2005.0
4605,hot wheels world race,PS2,2003-01-01,Racing,THQ,0.21,0.16,0.0,0.05,0.42,2003.0
4606,avatar: the last airbender - the burning earth,PS2,2007-01-01,Action,THQ,0.21,0.16,0.0,0.05,0.42,2007.0
4607,superman: shadow of apokolips,PS2,2002-01-01,Action,Atari,0.21,0.16,0.0,0.05,0.42,2002.0
4608,nights: journey of dreams,Wii,2007-01-01,Platform,Sega,0.33,0.03,0.04,0.03,0.42,2007.0
4609,american chopper,PS2,2004-01-01,Racing,Zoo Digital Publishing,0.35,0.01,0.0,0.06,0.42,2004.0
4610,vanquish,X360,2010-01-01,Shooter,Sega,0.19,0.17,0.03,0.04,0.42,2010.0
4611,star wars trilogy: apprentice of the force,GBA,2004-01-01,Action,Ubisoft,0.3,0.11,0.0,0.01,0.42,2004.0
4612,marvel super hero squad,DS,2009-01-01,Fighting,THQ,0.37,0.02,0.0,0.03,0.42,2009.0
4613,lemony snicket's a series of unfortunate events,GBA,2004-01-01,Platform,Activision,0.3,0.11,0.0,0.01,0.42,2004.0
4614,jgtc: all-japan grand touring car championship,PS,1998-01-01,Racing,TYO,0.23,0.16,0.0,0.03,0.42,1998.0
4615,nba live 06,PSP,2005-01-01,Sports,Electronic Arts,0.39,0.0,0.0,0.03,0.42,2005.0
4616,arc the lad iii,PS,1999-01-01,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.39,0.03,0.42,1999.0
4617,solitaire overload,DS,2007-01-01,Misc,Telegames,0.39,0.0,0.0,0.03,0.42,2007.0
4618,mobile suit gundam: gundam vs. gundam,PSP,2008-01-01,Fighting,Namco Bandai Games,0.0,0.0,0.42,0.0,0.42,2008.0
4619,test drive,XB,2002-01-01,Racing,Atari,0.35,0.05,0.0,0.02,0.42,2002.0
4620,jikkyou powerful pro yakyuu 11,PS2,2004-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.42,0.0,0.42,2004.0
4621,ghost trick: phantom detective,DS,2010-01-01,Adventure,Capcom,0.2,0.08,0.12,0.03,0.42,2010.0
4622,the adventures of jimmy neutron boy genius: jet fusion,PS2,2003-01-01,Action,THQ,0.21,0.16,0.0,0.05,0.42,2003.0
4623,rush 2: extreme racing usa,N64,1998-01-01,Racing,Midway Games,0.35,0.06,0.0,0.0,0.42,1998.0
4624,nfl blitz 2001,N64,2000-01-01,Sports,Midway Games,0.34,0.07,0.0,0.0,0.42,2000.0
4625,dr. mario 64,N64,2001-01-01,Puzzle,Nintendo,0.34,0.07,0.0,0.0,0.42,2001.0
4626,jikkyou powerful pro yakyuu 6,N64,1999-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.39,0.03,0.42,1999.0
4627,army men: sarge's heroes 2,N64,2000-01-01,Shooter,3DO,0.34,0.07,0.0,0.0,0.42,2000.0
4628,james bond 007: everything or nothing,GC,2004-01-01,Shooter,Electronic Arts,0.32,0.08,0.0,0.01,0.42,2004.0
4629,green day: rock band,PS3,2010-01-01,Misc,MTV Games,0.19,0.16,0.0,0.07,0.42,2010.0
4630,wolfenstein: the old blood,PS4,2015-01-01,Action,Bethesda Softworks,0.09,0.25,0.02,0.06,0.42,2015.0
4631,mlb 08: the show,PS2,2008-01-01,Sports,Sony Computer Entertainment,0.35,0.01,0.0,0.06,0.42,2008.0
4632,disney infinity 2.0: marvel super heroes,XOne,2014-01-01,Action,Disney Interactive Studios,0.24,0.15,0.0,0.03,0.42,2014.0
4633,dance dance revolution ultramix 2,XB,2004-01-01,Simulation,Konami Digital Entertainment,0.32,0.09,0.0,0.02,0.42,2004.0
4634,mega man anniversary collection,GC,2004-01-01,Platform,Capcom,0.32,0.08,0.0,0.01,0.42,2004.0
4635,blazing angels: squadrons of wwii,X360,2006-01-01,Simulation,Ubisoft,0.36,0.03,0.0,0.03,0.42,2006.0
4636,super famista 4,SNES,1995-01-01,Sports,Namco Bandai Games,0.0,0.0,0.42,0.0,0.42,1995.0
4637,the fairly odd parents: game boy advance video volume 2,GBA,2004-01-01,Misc,,0.3,0.11,0.0,0.01,0.42,2004.0
4638,cabela's legendary adventures,PS2,2008-01-01,Sports,Activision,0.21,0.16,0.0,0.05,0.42,2008.0
4639,taiko no tatsujin ds: dororon! youkai daikessen!!,DS,2010-01-01,Misc,Namco Bandai Games,0.0,0.0,0.42,0.0,0.42,2010.0
4640,harry potter and the goblet of fire,GC,2005-01-01,Action,Electronic Arts,0.32,0.08,0.0,0.01,0.42,2005.0
4641,jumpstart: escape from adventure island,Wii,2009-01-01,Adventure,Knowledge Adventure,0.39,0.0,0.0,0.03,0.42,2009.0
4642,thrillville: off the rails,PS2,2007-01-01,Strategy,LucasArts,0.2,0.16,0.0,0.05,0.42,2007.0
4643,style lab: makeover,DS,2009-01-01,Simulation,Ubisoft,0.35,0.03,0.0,0.03,0.42,2009.0
4644,condemned: criminal origins,X360,2005-01-01,Action,Sega,0.36,0.03,0.0,0.03,0.42,2005.0
4645,mega man x6,PS,2001-01-01,Action,Capcom,0.14,0.1,0.16,0.03,0.42,2001.0
4646,monster jam: urban assault,Wii,2008-01-01,Racing,Activision,0.39,0.0,0.0,0.03,0.42,2008.0
4647,bloodrayne,PS2,2002-01-01,Shooter,Universal Interactive,0.2,0.16,0.0,0.05,0.42,2002.0
4648,kumamon bomber: puzzle de kumamon taisou,GC,2005-01-01,Puzzle,Sega,0.32,0.08,0.0,0.01,0.42,2005.0
4649,castlevania: curse of darkness,PS2,2005-01-01,Action,Konami Digital Entertainment,0.18,0.14,0.05,0.05,0.42,2005.0
4650,tom clancy's hawx 2,PS3,2010-01-01,Action,Ubisoft,0.21,0.12,0.03,0.05,0.42,2010.0
4651,harvest moon: grand bazaar,DS,2008-01-01,Simulation,Rising Star Games,0.22,0.05,0.13,0.02,0.42,2008.0
4652,international superstar soccer pro '98,PS,1998-01-01,Sports,Konami Digital Entertainment,0.02,0.02,0.35,0.03,0.42,1998.0
4653,jimmy neutron: boy genius,GBA,2001-01-01,Platform,THQ,0.3,0.11,0.0,0.01,0.42,2001.0
4654,black,XB,2006-01-01,Shooter,Electronic Arts,0.31,0.09,0.0,0.01,0.42,2006.0
4655,zack & wiki: quest for barbaros' treasure,Wii,2007-01-01,Adventure,Nintendo,0.18,0.17,0.03,0.04,0.42,2007.0
4656,double pack: finding nemo / the incredibles,XB,2006-01-01,Action,THQ,0.31,0.09,0.0,0.01,0.42,2006.0
4657,star wars the clone wars: republic heroes,PSP,2009-01-01,Action,LucasArts,0.21,0.13,0.0,0.08,0.42,2009.0
4658,nba 2k11,PSP,2010-01-01,Action,Take-Two Interactive,0.39,0.0,0.0,0.03,0.42,2010.0
4659,animal crossing: amiibo festival,WiiU,2015-01-01,Misc,Nintendo,0.19,0.11,0.09,0.03,0.42,2015.0
4660,hyrule warriors,3DS,2016-01-01,Action,Nintendo,0.16,0.12,0.11,0.03,0.42,2016.0
4661,harry potter and the deathly hallows - part 1,PS3,2010-01-01,Action,Electronic Arts,0.13,0.21,0.0,0.08,0.42,2010.0
4662,fishing resort,Wii,2011-01-01,Sports,Namco Bandai Games,0.16,0.0,0.25,0.01,0.42,2011.0
4663,wwe all stars,PS3,2011-01-01,Fighting,THQ,0.16,0.18,0.0,0.07,0.42,2011.0
4664,lord of the rings: the third age,XB,2004-01-01,Role-Playing,Electronic Arts,0.31,0.09,0.0,0.01,0.42,2004.0
4665,football manager handheld 2011,PSP,2010-01-01,Sports,Sega,0.0,0.28,0.0,0.14,0.42,2010.0
4666,pirates of the caribbean: at world's end,PS2,2007-01-01,Action,Disney Interactive Studios,0.2,0.16,0.0,0.05,0.42,2007.0
4667,mega man legends 2,PS,2000-01-01,Adventure,Capcom,0.17,0.12,0.1,0.03,0.42,2000.0
4668,x-men vs. street fighter,PS,1997-01-01,Fighting,Capcom,0.16,0.11,0.12,0.03,0.42,1997.0
4669,high rollers casino,PS2,2004-01-01,Misc,Mud Duck Productions,0.2,0.16,0.0,0.05,0.42,2004.0
4670,castlevania: the dracula x chronicles,PSP,2007-01-01,Platform,Konami Digital Entertainment,0.22,0.09,0.04,0.07,0.42,2007.0
4671,the suffering,PS2,2004-01-01,Action,Midway Games,0.2,0.16,0.0,0.05,0.42,2004.0
4672,cyber troopers virtual-on,SAT,1995-01-01,Fighting,Sega,0.0,0.0,0.42,0.0,0.42,1995.0
4673,katamari forever,PS3,2009-01-01,Puzzle,Namco Bandai Games,0.26,0.05,0.06,0.04,0.42,2009.0
4674,star wars starfighter: special edition,XB,2001-01-01,Simulation,LucasArts,0.3,0.1,0.0,0.02,0.42,2001.0
4675,timeshift,X360,2007-01-01,Shooter,Vivendi Games,0.36,0.02,0.0,0.03,0.41,2007.0
4676,nba jam,PS2,2003-01-01,Sports,Acclaim Entertainment,0.2,0.16,0.0,0.05,0.41,2003.0
4677,zone of the enders: the 2nd runner,PS2,2003-01-01,Simulation,Konami Digital Entertainment,0.15,0.12,0.11,0.04,0.41,2003.0
4678,ghostbusters: the video game,DS,2009-01-01,Action,Atari,0.26,0.12,0.0,0.04,0.41,2009.0
4679,attack on titan: humanity in chains,3DS,2013-01-01,Action,Screenlife,0.0,0.0,0.41,0.0,0.41,2013.0
4680,jampack spring 2004 (rp-t),PS2,2003-01-01,Misc,Sony Computer Entertainment,0.2,0.16,0.0,0.05,0.41,2003.0
4681,dexter's laboratory deesaster strikes,GBA,2001-01-01,Adventure,BAM! Entertainment,0.3,0.11,0.0,0.01,0.41,2001.0
4682,nfl gameday 2004,PS2,2003-01-01,Sports,Sony Computer Entertainment,0.2,0.16,0.0,0.05,0.41,2003.0
4683,scooby-doo and the cyber chase,GBA,2001-01-01,Adventure,Ubisoft,0.3,0.11,0.0,0.01,0.41,2001.0
4684,danganronpa: trigger happy havoc,PSV,2013-01-01,Misc,Nippon Ichi Software,0.14,0.07,0.15,0.06,0.41,2013.0
4685,tera,PC,,Role-Playing,Unknown,0.24,0.12,0.0,0.05,0.41,
4686,tomb raider: the last revelation,PC,1998-01-01,Action,Eidos Interactive,0.41,0.0,0.0,0.0,0.41,1998.0
4687,pro evolution soccer 2011,PS2,2010-01-01,Sports,Konami Digital Entertainment,0.04,0.21,0.05,0.11,0.41,2010.0
4688,sega rally championship 2,DC,1999-01-01,Racing,Sega,0.0,0.0,0.41,0.0,0.41,1999.0
4689,quake ii,PS,1998-01-01,Shooter,Activision,0.23,0.16,0.0,0.03,0.41,1998.0
4690,crash of the titans,PS2,2007-01-01,Action,Vivendi Games,0.34,0.01,0.0,0.06,0.41,2007.0
4691,bioshock,PC,2007-01-01,Shooter,Take-Two Interactive,0.01,0.39,0.0,0.02,0.41,2007.0
4692,cars: mater-national championship,PS3,2007-01-01,Racing,THQ,0.37,0.01,0.0,0.03,0.41,2007.0
4693,mlb 10: the show,PS2,2010-01-01,Sports,Sony Computer Entertainment,0.2,0.16,0.0,0.05,0.41,2010.0
4694,wheel of fortune: 2nd edition,PS,2000-01-01,Misc,Hasbro Interactive,0.23,0.16,0.0,0.03,0.41,2000.0
4695,tom clancy's rainbow six: lockdown,XB,2005-01-01,Shooter,Ubisoft,0.26,0.13,0.0,0.02,0.41,2005.0
4696,mobile suit gundam: gundam vs. gundam next plus,PSP,2009-01-01,Fighting,Namco Bandai Games,0.0,0.0,0.41,0.0,0.41,2009.0
4697,cool boarders 2001,PS,2000-01-01,Sports,Sony Computer Entertainment,0.23,0.16,0.0,0.03,0.41,2000.0
4698,grudge warriors,PS,1999-01-01,Action,Take-Two Interactive,0.23,0.16,0.0,0.03,0.41,1999.0
4699,world soccer jikkyou winning eleven 2000: u-23 medal heno chousen,PS,2000-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.39,0.03,0.41,2000.0
4700,destiny: the taken king,PS3,2015-01-01,Shooter,Activision,0.16,0.17,0.02,0.06,0.41,2015.0
4701,mobile suit gundam,SAT,1995-01-01,Action,Namco Bandai Games,0.0,0.0,0.41,0.0,0.41,1995.0
4702,mass effect trilogy,X360,2012-01-01,Action,Electronic Arts,0.28,0.1,0.0,0.03,0.41,2012.0
4703,"transformers: revenge of the fallen (xbox 360, ps3, & pc versions)",PSP,2009-01-01,Shooter,Activision,0.17,0.15,0.0,0.09,0.41,2009.0
4704,wolfenstein: the new order,X360,2014-01-01,Shooter,Bethesda Softworks,0.18,0.19,0.0,0.04,0.41,2014.0
4705,james patterson women's murder club: games of passion,DS,2009-01-01,Adventure,THQ,0.15,0.22,0.0,0.05,0.41,2009.0
4706,farming simulator 2015,X360,2015-01-01,Simulation,Koch Media,0.21,0.16,0.0,0.04,0.41,2015.0
4707,jimmy neutron: boy genius,PS2,2002-01-01,Platform,THQ,0.2,0.16,0.0,0.05,0.41,2002.0
4708,itadaki street ds,DS,2007-01-01,Misc,Square Enix,0.0,0.0,0.41,0.0,0.41,2007.0
4709,castlevania: order of ecclesia,DS,2008-01-01,Platform,Konami Digital Entertainment,0.31,0.03,0.04,0.03,0.41,2008.0
4710,blazblue: continuum shift,PS3,2010-01-01,Fighting,PQube,0.21,0.08,0.09,0.04,0.41,2010.0
4711,x-men: the official game,PS2,2006-01-01,Action,Activision,0.2,0.16,0.0,0.05,0.41,2006.0
4712,300: march to glory,PSP,2007-01-01,Action,Warner Bros. Interactive Entertainment,0.27,0.08,0.0,0.06,0.41,2007.0
4713,e0: enemy zero,SAT,1996-01-01,Adventure,Sega,0.0,0.0,0.41,0.0,0.41,1996.0
4714,nicktoons: unite!,PS2,2005-01-01,Adventure,THQ,0.34,0.01,0.0,0.06,0.41,2005.0
4715,six flags fun park,Wii,2009-01-01,Misc,Ubisoft,0.28,0.1,0.0,0.04,0.41,2009.0
4716,spore hero,Wii,2009-01-01,Simulation,Electronic Arts,0.36,0.03,0.0,0.03,0.41,2009.0
4717,mass effect trilogy,PS3,2012-01-01,Action,Electronic Arts,0.37,0.0,0.0,0.04,0.41,2012.0
4718,nascar racing,PS,1996-01-01,Racing,Pioneer LDC,0.23,0.16,0.0,0.03,0.41,1996.0
4719,lego jurassic world,PSV,2015-01-01,Action,Warner Bros. Interactive Entertainment,0.09,0.23,0.0,0.09,0.41,2015.0
4720,monotaro dentetsu 2010: sengoku ishin no hero daishuugou! no maki,Wii,2009-01-01,Misc,Hudson Soft,0.0,0.0,0.41,0.0,0.41,2009.0
4721,up,PSP,2009-01-01,Action,THQ,0.24,0.1,0.0,0.07,0.41,2009.0
4722,spider-man: web of shadows,X360,2008-01-01,Action,Activision,0.36,0.02,0.0,0.03,0.41,2008.0
4723,boku no natsuyasumi 2: umi no bouken hen,PS2,2002-01-01,Adventure,Sony Computer Entertainment,0.0,0.0,0.41,0.0,0.41,2002.0
4724,spongebob squigglepants,Wii,2011-01-01,Misc,THQ,0.36,0.03,0.0,0.03,0.41,2011.0
4725,cars: race-o-rama,PSP,2009-01-01,Racing,THQ,0.29,0.07,0.0,0.06,0.41,2009.0
4726,fantastic pets,X360,2011-01-01,Simulation,THQ,0.3,0.08,0.0,0.03,0.41,2011.0
4727,command & conquer: red alert,PS,1997-01-01,Strategy,Virgin Interactive,0.23,0.16,0.0,0.03,0.41,1997.0
4728,star wars the clone wars: republic heroes,DS,2009-01-01,Action,LucasArts,0.23,0.14,0.0,0.04,0.41,2009.0
4729,dig dug,NES,1985-01-01,Puzzle,Namco Bandai Games,0.0,0.0,0.41,0.0,0.41,1985.0
4730,ogre battle 64: person of lordly caliber,N64,1999-01-01,Role-Playing,Nintendo,0.1,0.02,0.25,0.04,0.41,1999.0
4731,superman: the new superman adventures,N64,1999-01-01,Action,Titus,0.33,0.07,0.0,0.0,0.41,1999.0
4732,uefa euro 2008 austria-switzerland,PS3,2008-01-01,Sports,Electronic Arts,0.08,0.27,0.0,0.06,0.41,2008.0
4733,the terminator: dawn of fate,PS2,2002-01-01,Action,Atari,0.2,0.16,0.0,0.05,0.41,2002.0
4734,the lego movie videogame,PSV,2014-01-01,Action,Warner Bros. Interactive Entertainment,0.05,0.26,0.0,0.09,0.41,2014.0
4735,rogue galaxy: director's cut,PS2,2007-01-01,Role-Playing,Sony Computer Entertainment,0.2,0.16,0.0,0.05,0.41,2007.0
4736,armored core,PS,1997-01-01,Simulation,Sony Computer Entertainment,0.13,0.09,0.16,0.03,0.41,1997.0
4737,monster trucks mayhem,Wii,2009-01-01,Racing,Zoo Games,0.39,0.0,0.0,0.02,0.41,2009.0
4738,winter sports 2: the next challenge,Wii,2008-01-01,Sports,RTL,0.18,0.19,0.0,0.04,0.41,2008.0
4739,green day: rock band,X360,2010-01-01,Misc,MTV Games,0.24,0.13,0.0,0.04,0.41,2010.0
4740,densha de go! 2,PS,1999-01-01,Simulation,Taito,0.0,0.0,0.38,0.03,0.41,1999.0
4741,transformers: fall of cybertron,PS3,2012-01-01,Action,Activision,0.19,0.15,0.0,0.07,0.41,2012.0
4742,call of duty: advanced warfare,PC,2014-01-01,Shooter,Activision,0.14,0.23,0.0,0.04,0.41,2014.0
4743,disney princess: enchanting storybooks,Wii,2011-01-01,Misc,THQ,0.26,0.11,0.0,0.04,0.41,2011.0
4744,monopoly streets,PS3,2010-01-01,Misc,Electronic Arts,0.16,0.18,0.0,0.07,0.41,2010.0
4745,band hero,PS2,2009-01-01,Misc,Activision,0.15,0.06,0.0,0.2,0.41,2009.0
4746,the wonderful 101,WiiU,2013-01-01,Action,Nintendo,0.2,0.1,0.08,0.03,0.41,2013.0
4747,no more heroes 2: desperate struggle,Wii,2010-01-01,Action,Rising Star Games,0.21,0.12,0.04,0.03,0.41,2010.0
4748,battlefield 2: modern combat,X360,2006-01-01,Shooter,Electronic Arts,0.35,0.02,0.01,0.03,0.41,2006.0
4749,armored core 2: another age,PS2,2001-01-01,Simulation,Metro 3D,0.11,0.08,0.19,0.03,0.41,2001.0
4750,buzz! junior: jungle party,PS2,2006-01-01,Misc,Sony Computer Entertainment,0.2,0.16,0.0,0.05,0.41,2006.0
4751,mortal kombat: deadly alliance,GC,2002-01-01,Fighting,Midway Games,0.31,0.08,0.0,0.01,0.41,2002.0
4752,marvel: ultimate alliance,Wii,2006-01-01,Role-Playing,Activision,0.37,0.01,0.0,0.03,0.41,2006.0
4753,nba 2k11,PS2,2010-01-01,Action,Take-Two Interactive,0.34,0.01,0.0,0.06,0.41,2010.0
4754,akb1/48: idol to koishitara...,PSP,2010-01-01,Misc,Namco Bandai Games,0.0,0.0,0.41,0.0,0.41,2010.0
4755,pro pinball,PS,1996-01-01,Misc,Empire Interactive,0.23,0.15,0.0,0.03,0.41,1996.0
4756,'98 koshien,PS,1998-01-01,Sports,Magical Company,0.15,0.1,0.12,0.03,0.41,1998.0
4757,nba 2k9,PS2,2008-01-01,Sports,Take-Two Interactive,0.34,0.01,0.0,0.06,0.41,2008.0
4758,yu-gi-oh! the eternal duelist soul (jp sales),GBA,2001-01-01,Misc,Konami Digital Entertainment,0.0,0.0,0.4,0.01,0.41,2001.0
4759,speed racer: the videogame,Wii,2008-01-01,Racing,Warner Bros. Interactive Entertainment,0.36,0.02,0.0,0.03,0.41,2008.0
4760,naughty bear,X360,2010-01-01,Action,505 Games,0.21,0.16,0.0,0.04,0.41,2010.0
4761,littlest pet shop,Wii,2008-01-01,Simulation,Electronic Arts,0.34,0.04,0.0,0.03,0.41,2008.0
4762,tna impact!,PS3,2008-01-01,Fighting,Midway Games,0.22,0.12,0.0,0.06,0.41,2008.0
4763,just dance kids 2,X360,2011-01-01,Misc,Ubisoft,0.29,0.09,0.0,0.03,0.41,2011.0
4764,duke nukem forever,PC,2011-01-01,Shooter,Take-Two Interactive,0.18,0.17,0.0,0.06,0.41,2011.0
4765,hatsune miku: project diva 2nd,PSP,2010-01-01,Misc,Sega,0.0,0.0,0.41,0.0,0.41,2010.0
4766,marvel: ultimate alliance 2,PS2,2009-01-01,Role-Playing,Activision,0.23,0.02,0.0,0.16,0.41,2009.0
4767,mario no super picross,SNES,1995-01-01,Puzzle,Nintendo,0.0,0.0,0.41,0.0,0.41,1995.0
4768,"ed, edd n eddy: the mis-edventures",PS2,2005-01-01,Platform,Midway Games,0.34,0.01,0.0,0.06,0.41,2005.0
4769,jikkyou powerful pro yakuu '94,SNES,1994-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.41,0.0,0.41,1994.0
4770,disney's tarzan untamed,PS2,2001-01-01,Platform,Ubisoft,0.2,0.16,0.0,0.05,0.41,2001.0
4771,borderlands: the handsome collection,XOne,2015-01-01,Shooter,Take-Two Interactive,0.24,0.13,0.0,0.04,0.41,2015.0
4772,the gunstringer,X360,2011-01-01,Shooter,Microsoft Game Studios,0.26,0.11,0.0,0.04,0.41,2011.0
4773,knockout kings 2001,PS,2000-01-01,Fighting,Electronic Arts,0.23,0.15,0.0,0.03,0.41,2000.0
4774,from russia with love,PS2,2005-01-01,Action,Electronic Arts,0.34,0.01,0.0,0.06,0.41,2005.0
4775,fifa soccer 13,PC,2012-01-01,Action,Electronic Arts,0.02,0.31,0.0,0.07,0.41,2012.0
4776,asura's wrath,PS3,2012-01-01,Action,Capcom,0.18,0.12,0.06,0.05,0.41,2012.0
4777,avatar: the game,DS,2009-01-01,Action,Ubisoft,0.19,0.18,0.0,0.04,0.41,2009.0
4778,my virtual tutor: reading adventure first to second grade,DS,2009-01-01,Misc,Mentor Interactive,0.38,0.0,0.0,0.03,0.41,2009.0
4779,minority report: everybody runs,PS2,2002-01-01,Action,Activision,0.2,0.15,0.0,0.05,0.41,2002.0
4780,disney's hercules / disney's the jungle book: groove party / a bug's life,PS,2003-01-01,Misc,Sony Computer Entertainment,0.23,0.15,0.0,0.03,0.4,2003.0
4781,nfl gameday 2002,PS,2001-01-01,Sports,Sony Computer Entertainment,0.23,0.15,0.0,0.03,0.4,2001.0
4782,pengo,2600,1983-01-01,Adventure,Atari,0.38,0.02,0.0,0.0,0.4,1983.0
4783,disney sing it! high school musical 3: senior year,PS3,2008-01-01,Misc,Disney Interactive Studios,0.08,0.26,0.0,0.07,0.4,2008.0
4784,story of seasons,3DS,2014-01-01,Simulation,Nintendo,0.0,0.13,0.26,0.01,0.4,2014.0
4785,beowulf: the game,X360,2007-01-01,Action,Ubisoft,0.36,0.01,0.0,0.03,0.4,2007.0
4786,mouse trap,2600,1981-01-01,Action,Coleco,0.38,0.02,0.0,0.0,0.4,1981.0
4787,super monkey ball: step & roll,Wii,2010-01-01,Action,Sega,0.17,0.2,0.0,0.04,0.4,2010.0
4788,hatsune miku: project diva f 2nd,PSV,2014-01-01,Misc,Sega,0.13,0.06,0.16,0.06,0.4,2014.0
4789,overlord,X360,2007-01-01,Strategy,Codemasters,0.34,0.03,0.01,0.03,0.4,2007.0
4790,tak and the power of juju,GC,2003-01-01,Platform,THQ,0.31,0.08,0.0,0.01,0.4,2003.0
4791,"transformers: the game (xbox 360, ps2, ps3, wii & pc versions)",PS3,2007-01-01,Action,Activision,0.32,0.04,0.01,0.04,0.4,2007.0
4792,sega superstars tennis,PS3,2008-01-01,Sports,Sega,0.13,0.2,0.0,0.08,0.4,2008.0
4793,lego harry potter: years 5-7,3DS,,Action,Warner Bros. Interactive Entertainment,0.18,0.19,0.0,0.04,0.4,
4794,dragon quest x,WiiU,2013-01-01,Role-Playing,Square Enix,0.0,0.0,0.4,0.0,0.4,2013.0
4795,wall-e,PS3,2008-01-01,Platform,THQ,0.12,0.21,0.0,0.08,0.4,2008.0
4796,medarot: kabuto / kuwagata version,GB,1997-01-01,Role-Playing,Imagineer,0.0,0.0,0.4,0.0,0.4,1997.0
4797,nba 2k10,PS2,2009-01-01,Sports,Take-Two Interactive,0.33,0.01,0.0,0.05,0.4,2009.0
4798,defender,PS2,2002-01-01,Misc,Midway Games,0.2,0.15,0.0,0.05,0.4,2002.0
4799,nfl gameday 2003,PS2,,Sports,Unknown,0.2,0.15,0.0,0.05,0.4,
4800,wipeout 3 the game,Wii,2012-01-01,Action,Activision,0.38,0.0,0.0,0.03,0.4,2012.0
4801,taiko no tatsujin wii: dodon to 2 yome!,Wii,2009-01-01,Misc,Namco Bandai Games,0.0,0.0,0.4,0.0,0.4,2009.0
4802,thief (2014),PS3,2014-01-01,Action,Square Enix,0.1,0.2,0.02,0.08,0.4,2014.0
